Indicator,Country,Date,value
Cumulative number of suspected Ebola cases,United Kingdom,20/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,20/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,20/05/2015,1
Cumulative number of confirmed Ebola cases,Mali,20/05/2015,7
Cumulative number of probable Ebola cases,Mali,20/05/2015,1
Cumulative number of suspected Ebola cases,Mali,20/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,20/05/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,20/05/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,20/05/2015,19
Cumulative number of probable Ebola cases,Nigeria,20/05/2015,1
Cumulative number of suspected Ebola cases,Nigeria,20/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,20/05/2015,20
Cumulative number of confirmed Ebola cases,Senegal,20/05/2015,1
Cumulative number of probable Ebola cases,Senegal,20/05/2015,0
Cumulative number of suspected Ebola cases,Senegal,20/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,20/05/2015,1
Cumulative number of confirmed Ebola cases,Spain,20/05/2015,1
Cumulative number of probable Ebola cases,Spain,20/05/2015,0
Cumulative number of suspected Ebola cases,Spain,20/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,20/05/2015,1
Cumulative number of confirmed Ebola cases,United States of America,20/05/2015,4
Cumulative number of probable Ebola cases,United States of America,20/05/2015,0
Cumulative number of suspected Ebola cases,United States of America,20/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,20/05/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,20/05/2015,7
Cumulative number of probable Ebola deaths,Nigeria,20/05/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,20/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,20/05/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,20/05/2015,0
Cumulative number of probable Ebola deaths,Senegal,20/05/2015,0
Cumulative number of suspected Ebola deaths,Senegal,20/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,20/05/2015,0
Cumulative number of confirmed Ebola deaths,Spain,20/05/2015,0
Cumulative number of probable Ebola deaths,Spain,20/05/2015,0
Cumulative number of suspected Ebola deaths,Spain,20/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,20/05/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,20/05/2015,1
Cumulative number of probable Ebola deaths,United States of America,20/05/2015,0
Cumulative number of suspected Ebola deaths,United States of America,20/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,20/05/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,21/05/2015,3649
Cumulative number of confirmed Ebola cases,Guinea,21/05/2015,3204
Cumulative number of probable Ebola cases,Guinea,21/05/2015,419
Cumulative number of suspected Ebola cases,Guinea,21/05/2015,26
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,21/05/2015,2409
Cumulative number of confirmed Ebola deaths,Guinea,21/05/2015,1990
Cumulative number of probable Ebola deaths,Guinea,21/05/2015,419
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,21/05/2015,10666
Cumulative number of confirmed Ebola cases,Liberia,21/05/2015,3151
Cumulative number of probable Ebola cases,Liberia,21/05/2015,1879
Cumulative number of suspected Ebola cases,Liberia,21/05/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,21/05/2015,4806
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,21/05/2015,12656
Cumulative number of confirmed Ebola cases,Sierra Leone,21/05/2015,8607
Cumulative number of probable Ebola cases,Sierra Leone,21/05/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,21/05/2015,3762
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,21/05/2015,3907
Cumulative number of confirmed Ebola deaths,Sierra Leone,21/05/2015,3541
Cumulative number of probable Ebola deaths,Sierra Leone,21/05/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,21/05/2015,158
Cumulative number of confirmed Ebola cases,Italy,21/05/2015,1
Cumulative number of probable Ebola cases,Italy,21/05/2015,0
Cumulative number of suspected Ebola cases,Italy,21/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,21/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,21/05/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,21/05/2015,1
Cumulative number of probable Ebola cases,United Kingdom,21/05/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,21/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,21/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,21/05/2015,1
Cumulative number of confirmed Ebola cases,Mali,21/05/2015,7
Cumulative number of probable Ebola cases,Mali,21/05/2015,1
Cumulative number of suspected Ebola cases,Mali,21/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,21/05/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,21/05/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,21/05/2015,19
Cumulative number of probable Ebola cases,Nigeria,21/05/2015,1
Cumulative number of suspected Ebola cases,Nigeria,21/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,21/05/2015,20
Cumulative number of confirmed Ebola cases,Senegal,21/05/2015,1
Cumulative number of probable Ebola cases,Senegal,21/05/2015,0
Cumulative number of suspected Ebola cases,Senegal,21/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,21/05/2015,1
Cumulative number of confirmed Ebola cases,Spain,21/05/2015,1
Cumulative number of probable Ebola cases,Spain,21/05/2015,0
Cumulative number of suspected Ebola cases,Spain,21/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,21/05/2015,1
Cumulative number of confirmed Ebola cases,United States of America,21/05/2015,4
Cumulative number of probable Ebola cases,United States of America,21/05/2015,0
Cumulative number of suspected Ebola cases,United States of America,21/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,21/05/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,21/05/2015,7
Cumulative number of probable Ebola deaths,Nigeria,21/05/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,21/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,21/05/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,21/05/2015,0
Cumulative number of probable Ebola deaths,Senegal,21/05/2015,0
Cumulative number of suspected Ebola deaths,Senegal,21/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,21/05/2015,0
Cumulative number of confirmed Ebola deaths,Spain,21/05/2015,0
Cumulative number of probable Ebola deaths,Spain,21/05/2015,0
Cumulative number of suspected Ebola deaths,Spain,21/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,21/05/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,21/05/2015,1
Cumulative number of probable Ebola deaths,United States of America,21/05/2015,0
Cumulative number of suspected Ebola deaths,United States of America,21/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,21/05/2015,1
Cumulative number of confirmed Ebola cases,Italy,22/05/2015,1
Cumulative number of probable Ebola cases,Italy,22/05/2015,0
Cumulative number of suspected Ebola cases,Italy,22/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,22/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,22/05/2015,3647
Cumulative number of confirmed Ebola cases,Guinea,22/05/2015,3205
Cumulative number of probable Ebola cases,Guinea,22/05/2015,419
Cumulative number of suspected Ebola cases,Guinea,22/05/2015,23
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,22/05/2015,2412
Cumulative number of confirmed Ebola deaths,Guinea,22/05/2015,1993
Cumulative number of probable Ebola deaths,Guinea,22/05/2015,419
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,22/05/2015,10666
Cumulative number of confirmed Ebola cases,Liberia,22/05/2015,3151
Cumulative number of probable Ebola cases,Liberia,22/05/2015,1879
Cumulative number of suspected Ebola cases,Liberia,22/05/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,22/05/2015,4806
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,22/05/2015,12666
Cumulative number of confirmed Ebola cases,Sierra Leone,22/05/2015,8608
Cumulative number of probable Ebola cases,Sierra Leone,22/05/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,22/05/2015,3771
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,22/05/2015,3907
Cumulative number of confirmed Ebola deaths,Sierra Leone,22/05/2015,3541
Cumulative number of probable Ebola deaths,Sierra Leone,22/05/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,22/05/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,22/05/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,22/05/2015,1
Cumulative number of probable Ebola cases,United Kingdom,22/05/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,22/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,22/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,22/05/2015,1
Cumulative number of confirmed Ebola cases,Mali,22/05/2015,7
Cumulative number of probable Ebola cases,Mali,22/05/2015,1
Cumulative number of suspected Ebola cases,Mali,22/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,22/05/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,22/05/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,22/05/2015,19
Cumulative number of probable Ebola cases,Nigeria,22/05/2015,1
Cumulative number of suspected Ebola cases,Nigeria,22/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,22/05/2015,20
Cumulative number of confirmed Ebola cases,Senegal,22/05/2015,1
Cumulative number of probable Ebola cases,Senegal,22/05/2015,0
Cumulative number of suspected Ebola cases,Senegal,22/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,22/05/2015,1
Cumulative number of confirmed Ebola cases,Spain,22/05/2015,1
Cumulative number of probable Ebola cases,Spain,22/05/2015,0
Cumulative number of suspected Ebola cases,Spain,22/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,22/05/2015,1
Cumulative number of confirmed Ebola cases,United States of America,22/05/2015,4
Cumulative number of probable Ebola cases,United States of America,22/05/2015,0
Cumulative number of suspected Ebola cases,United States of America,22/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,22/05/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,22/05/2015,7
Cumulative number of probable Ebola deaths,Nigeria,22/05/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,22/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,22/05/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,22/05/2015,0
Cumulative number of probable Ebola deaths,Senegal,22/05/2015,0
Cumulative number of suspected Ebola deaths,Senegal,22/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,22/05/2015,0
Cumulative number of confirmed Ebola deaths,Spain,22/05/2015,0
Cumulative number of probable Ebola deaths,Spain,22/05/2015,0
Cumulative number of suspected Ebola deaths,Spain,22/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,22/05/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,22/05/2015,1
Cumulative number of probable Ebola deaths,United States of America,22/05/2015,0
Cumulative number of suspected Ebola deaths,United States of America,22/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,22/05/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,26/05/2015,3641
Cumulative number of confirmed Ebola cases,Guinea,26/05/2015,3210
Cumulative number of probable Ebola cases,Guinea,26/05/2015,419
Cumulative number of suspected Ebola cases,Guinea,26/05/2015,12
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,26/05/2015,2420
Cumulative number of confirmed Ebola deaths,Guinea,26/05/2015,2001
Cumulative number of probable Ebola deaths,Guinea,26/05/2015,419
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,26/05/2015,10666
Cumulative number of confirmed Ebola cases,Liberia,26/05/2015,3151
Cumulative number of probable Ebola cases,Liberia,26/05/2015,1879
Cumulative number of suspected Ebola cases,Liberia,26/05/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,26/05/2015,4806
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,26/05/2015,12706
